Post title,Post link,Created date,Impressions,Engagement rate
"Google has signed the first-ever commercial fusion power deal with Commonwealth Fusion Systems, an MIT offshoot building the world’s first commercially viable fusion plant in Chesterfield County. With early backing by the Virginia Clean Energy Innovation Bank, this landmark project proves what’s possible when we empower innovation in the Commonwealth.

#fusionpower #fusionenergy #innovation #cleanenergy

Read the full release at https://lnkd.in/edZegD8D

Learn more about the Virginia Clean Energy Innovation Bank at https://lnkd.in/eKtv2Axg
",https://www.linkedin.com/feed/update/urn:li:activity:7345554276103929857,06/30/2025,3154,6.5%
"Google has signed the first-ever commercial fusion power deal with Commonwealth Fusion Systems, an MIT offshoot building the world’s first commercially viable fusion plant in Chesterfield County. With early backing by the Virginia Clean Energy Innovation Bank, this landmark project proves what’s possible when we empower innovation in the Commonwealth.

#fusionpower #fusionenergy #innovation #cleanenergy

Read the full release at https://lnkd.in/edZegD8D

Learn more about the Virginia Clean Energy Innovation Bank at https://lnkd.in/eKtv2Axg
",https://www.linkedin.com/feed/update/urn:li:activity:7345554276103929857,06/30/2025,1279,1.1%
"Google has signed the first-ever commercial fusion power deal with Commonwealth Fusion Systems, an MIT offshoot building the world’s first commercially viable fusion plant in Chesterfield County. With early backing by the Virginia Clean Energy Innovation Bank, this landmark project proves what’s possible when we empower innovation in the Commonwealth.

#fusionpower #fusionenergy #innovation #cleanenergy

Read the full release at https://lnkd.in/edZegD8D

Learn more about the Virginia Clean Energy Innovation Bank at https://lnkd.in/eKtv2Axg
",https://www.linkedin.com/feed/update/urn:li:activity:7345554276103929857,06/30/2025,4433,4.9%
" Abandoned Mine Land (AML) division will host a public meeting to discuss an upcoming multi-phased watershed restoration project in the Bold Camp area of Wise County, Virginia. This public meeting provides residents an opportunity to view the plans, ask questions, and provide feedback ahead of the project's finalization.

Meeting details available at: https://lnkd.in/eWH5REv2 
",https://www.linkedin.com/feed/update/urn:li:activity:7345521559383490560,06/30/2025,286,2.1%
"Virginia Energy's Deputy Director, Julianne Szyper, recently participated in a dynamic panel exploring Virginia Energy Perspectives and their vital role in driving the state’s economic development. Joined by Paige Fox of Virginia Beach Economic Development and Greg Kozera from Shale Crescent USA, the discussion highlighted opportunities for energy innovation, job creation, and regional growth.

The panel emphasized how Virginia’s evolving energy landscape is shaping new industries and attracting investments, reinforcing the state’s foundational energy sources—nuclear and natural gas—and its position as a leader in economic progress and energy advancement. We’re proud to contribute to conversations that fuel Virginia’s sustainable and prosperous future.",https://www.linkedin.com/feed/update/urn:li:activity:7345444813783097344,06/30/2025,752,16.2%
"Congratulations to 2025 Grand Champion Wellmore Coal Company LLC  and all the teams who competed in this year’s Governor’s Cup and Overmountain Mine Rescue Competitions!

Ten mine rescue teams from Virginia and surrounding states gathered in Abingdon to put their life-saving skills to the test—navigating realistic underground rescue scenarios, fire suppression drills, and emergency response challenges designed to keep miners safe.

Hosted by Virginia Energy alongside National Mine Rescue Association Post 7, the Metallurgical Coal Producers Association, and the Mine Safety and Health Administration, the events blended hands-on training with fierce competition to strengthen mine safety across the region.

Read the full release:
https://lnkd.in/eZMs4Z7z

Event & Awards Photos:
https://lnkd.in/ehgNPbrd
",https://www.linkedin.com/feed/update/urn:li:activity:7345088902824665089,06/29/2025,229,6.1%
"Every major energy authority—PJM, Dominion, Virginia Energy—agrees that we cannot meet future energy demand with renewables alone. Dispatchable natural gas and baseload nuclear are critical for ensuring that our economy continues to have the reliable energy it needs to thrive. This isn’t just a Virginia challenge, or even a regional one. Grids across the nation must evolve to match the scale and speed of 21st-century demand. We can do this!
",https://www.linkedin.com/feed/update/urn:li:activity:7344726554687553536,06/28/2025,3566,7.0%
"Every major energy authority—PJM, Dominion, Virginia Energy—agrees that we cannot meet future energy demand with renewables alone. Dispatchable natural gas and baseload nuclear are critical for ensuring that our economy continues to have the reliable energy it needs to thrive. This isn’t just a Virginia challenge, or even a regional one. Grids across the nation must evolve to match the scale and speed of 21st-century demand. We can do this!
",https://www.linkedin.com/feed/update/urn:li:activity:7344726554687553536,06/28/2025,1099,1.4%
"Every major energy authority—PJM, Dominion, Virginia Energy—agrees that we cannot meet future energy demand with renewables alone. Dispatchable natural gas and baseload nuclear are critical for ensuring that our economy continues to have the reliable energy it needs to thrive. This isn’t just a Virginia challenge, or even a regional one. Grids across the nation must evolve to match the scale and speed of 21st-century demand. We can do this!
",https://www.linkedin.com/feed/update/urn:li:activity:7344726554687553536,06/28/2025,4665,5.7%
"Energy leaders from across Virginia gathered in Richmond this week for the 2025 Virginia Energy Summit to discuss the Commonwealth’s most pressing energy challenges. From nuclear innovation to permitting reform and infrastructure resilience, every session focused on delivering real results for Virginia’s families, businesses, and future.


Thank you to the Virginia Manufacturers Association and to all the experts, partners, and attendees who made this year’s summit a success. See you next year!
",https://www.linkedin.com/feed/update/urn:li:activity:7344424746387730435,06/27/2025,852,8.7%
"Clean energy is built with coal. Virginia produces $2+ billion worth of coal each year, a majority of which is not burned to produce electricity, but is used to manufacture a wide variety of products, like silicon: a crucial component in solar panels.
",https://www.linkedin.com/feed/update/urn:li:activity:7344349089821605888,06/27/2025,1734,6.5%
"Virginia Energy's Coal Mine Safety Group will be offering in-person surface foreman continuing education training on July 9th, 2025. 
",https://www.linkedin.com/feed/update/urn:li:activity:7344009174948741121,06/26/2025,150,2.0%
"?? Now Open: Request for Information (RFI) ??
Virginia Energy is seeking input from mine operators, tech providers, developers, landowners, and researchers for a new $80M+ program to capture and reuse methane from active and abandoned coal mines in Southwest Virginia. We're looking for insights on tech, sites, barriers, and partnership opportunities.

Responses due July 16. Learn more at https://lnkd.in/eA3Whigx 

#Coal #Mining #Methane #CarbonCapture #CCUS
",https://www.linkedin.com/feed/update/urn:li:activity:7343723474013593601,06/25/2025,604,6.3%
"Flour-dusted counters, secret family recipes, and a quick selfie break - mining makes these moments possible. Minerals mined throughout Virginia are critical to manufacturing processes across the globe, as well as cherished traditions at home. Next time you're mixing memories and cookie dough with loved ones, remember the unseen connection between our natural resources and life's sweetest moments.

#ifitsnotgrownitsmined 
#criticalminerals 
#mineralmining

Learn more about Virginia's rich geology at
https://lnkd.in/eZd8mzjg

",https://www.linkedin.com/feed/update/urn:li:activity:7343624263557373952,06/25/2025,127,3.1%
"Virginia's investment in geological mapping delivers exceptional financial returns—7 to 10 times the investment cost—according the first-ever cost-benefit analysis of geological mapping! At Virginia Energy, our expert geologists create detailed maps that businesses and communities rely on for smart development, hazard prevention, and industry planning across the Commonwealth. 
U.S. Geological Survey (USGS) American Geosciences Institute 

Read the full report at: https://lnkd.in/e_xs68CC
",https://www.linkedin.com/feed/update/urn:li:activity:7343261883551940610,06/24/2025,297,3.7%
"At the Virginia Transportation Construction Alliance Annual Meeting, Virginia Energy recognized companies setting the standard for what responsible mining looks like—protecting workers, restoring land, and supporting Virginia’s economy.

This year’s winners represent a cross-section of Virginia’s mineral mining industry, which continues to play a vital role in powering the Commonwealth’s economy. In 2024, Virginia’s mineral mining operations produced more than 70 million tons of materials valued at $1.9 billion (USGS estimate), employed over 10,000 Virginians, and reclaimed nearly 1,500 acres of mined lands—primarily for pasture (49%), commercial use (37%), and forestry (9%).

Congratulations to Iluka Resources Inc., Branscome Operating LLC, Chaney Enterprises LP, Appalachian Aggregates, Salem Stone Corporation., Luck Stone, E. Dillon & Company, Vico Construction Corporation., Stoney Creek Materials, Holcim-Mar, Inc., and USC SALTVILLE BRINE, LLC for their outstanding performance in 2024.

Read the full release at https://lnkd.in/eT9Ndg9t",https://www.linkedin.com/feed/update/urn:li:activity:7342997383930163200,06/23/2025,233,5.6%
"Virginia's power sector has slashed CO2 emissions intensity by over 50% since 2010, outpacing the national average of 37%. Our ""all-of-the-above"" energy strategy embraces nuclear, clean-burning natural gas, renewables, and other innovative technologies and continues to drive us toward an increasingly clean energy future. Virginia remains committed to sustainable progress while ensuring reliable and affordable power for all.

Learn more at https://lnkd.in/d8FJcwa7
",https://www.linkedin.com/feed/update/urn:li:activity:7342971009626480640,06/23/2025,389,2.6%
"Virginia's power sector has slashed CO2 emissions intensity by over 50% since 2010, outpacing the national average of 37%. Our ""all-of-the-above"" energy strategy embraces nuclear, clean-burning natural gas, renewables, and other innovative technologies and continues to drive us toward an increasingly clean energy future. Virginia remains committed to sustainable progress while ensuring reliable and affordable power for all.

Learn more at https://lnkd.in/d8FJcwa7
",https://www.linkedin.com/feed/update/urn:li:activity:7342971009626480640,06/23/2025,1442,1.5%
"Virginia's power sector has slashed CO2 emissions intensity by over 50% since 2010, outpacing the national average of 37%. Our ""all-of-the-above"" energy strategy embraces nuclear, clean-burning natural gas, renewables, and other innovative technologies and continues to drive us toward an increasingly clean energy future. Virginia remains committed to sustainable progress while ensuring reliable and affordable power for all.

Learn more at https://lnkd.in/d8FJcwa7
",https://www.linkedin.com/feed/update/urn:li:activity:7342971009626480640,06/23/2025,1831,1.7%
"Having already driven major emissions reductions through the transition from coal to cleaner-burning natural gas, Virginia can maintain this momentum with nuclear power working alongside renewables and natural gas to create a balanced grid that is reliable, affordable, and increasingly clean.

Learn more about Virginia's energy future at https://lnkd.in/d8FJcwa7
",https://www.linkedin.com/feed/update/urn:li:activity:7342537005093797888,06/22/2025,300,3.7%
"Virginia leads the nation as the #1 state for business thanks to our world-class infrastructure, business-friendly policies, skilled workforce, and reliable, affordable supply of energy. Our all-of-the-above energy approach—built on a solid foundation of nuclear and natural gas—delivers the power businesses need to thrive, attracting investment and fueling economic growth.

Learn more at https://lnkd.in/d8FJcwa7
",https://www.linkedin.com/feed/update/urn:li:activity:7342189970876493825,06/21/2025,646,5.1%
"Virginia leads the nation as the #1 state for business thanks to our world-class infrastructure, business-friendly policies, skilled workforce, and reliable, affordable supply of energy. Our all-of-the-above energy approach—built on a solid foundation of nuclear and natural gas—delivers the power businesses need to thrive, attracting investment and fueling economic growth.

Learn more at https://lnkd.in/d8FJcwa7
",https://www.linkedin.com/feed/update/urn:li:activity:7342189970876493825,06/21/2025,1491,1.0%
"Virginia leads the nation as the #1 state for business thanks to our world-class infrastructure, business-friendly policies, skilled workforce, and reliable, affordable supply of energy. Our all-of-the-above energy approach—built on a solid foundation of nuclear and natural gas—delivers the power businesses need to thrive, attracting investment and fueling economic growth.

Learn more at https://lnkd.in/d8FJcwa7
",https://www.linkedin.com/feed/update/urn:li:activity:7342189970876493825,06/21/2025,2137,2.2%
"Once again, Virginia continues to set the pace for national energy leadership. Congratulations to the Northern Virginia Regional Commission for being the first regional organization in the nation to achieve a platinum designation from the SolSmart program. By cutting red tape and making solar more accessible, initiatives like this help drive Virginia’s all-of-the-above energy future built on innovation, affordability, and reliability.

https://lnkd.in/eiZ8cfzG

",https://www.linkedin.com/feed/update/urn:li:activity:7341087594794901504,06/18/2025,831,6.7%
"Natural gas emits about half the CO2 of coal, making it a cleaner option for reliable, baseload power. In Virginia, natural gas accounts for over 50% of our electric capacity, and will continue to play a critical role in our all-of-the-above strategy for Virginia's energy future.  https://ow.ly/SWmQ50UpZ5u",https://www.linkedin.com/feed/update/urn:li:activity:7340823699371044864,06/17/2025,214,2.8%
"As energy demand grows, Virginia continues to invest in grid expansion and reliability to keep our communities and critical industries powered. This quick explainer from the U.S. Department of Energy shows why modernizing transmission is key to a stronger, more resilient energy grid. https://lnkd.in/eiCHbnxi 

Learn more about Virginia Energy’s work to strengthen our energy grid at https://lnkd.in/eC9yhDRg",https://www.linkedin.com/feed/update/urn:li:activity:7340377684125868033,06/16/2025,549,4.9%
"Virginia continues to ensure nuclear fuel is stored at some of the most advanced facilities in the world—protecting our communities and environment while unlocking the full potential of emissions-free, always-on energy.

Learn more about nuclear energy in Virginia at https://lnkd.in/ekZqhfBJ",https://www.linkedin.com/feed/update/urn:li:activity:7339260758691635200,06/13/2025,586,4.9%
"Virginia continues to ensure nuclear fuel is stored at some of the most advanced facilities in the world—protecting our communities and environment while unlocking the full potential of emissions-free, always-on energy.

Learn more about nuclear energy in Virginia at https://lnkd.in/ekZqhfBJ",https://www.linkedin.com/feed/update/urn:li:activity:7339260758691635200,06/13/2025,2861,2.9%
"Virginia continues to ensure nuclear fuel is stored at some of the most advanced facilities in the world—protecting our communities and environment while unlocking the full potential of emissions-free, always-on energy.

Learn more about nuclear energy in Virginia at https://lnkd.in/ekZqhfBJ",https://www.linkedin.com/feed/update/urn:li:activity:7339260758691635200,06/13/2025,3447,3.3%
"Virginia is the 9th largest producer of solar energy in the United States. About 7% of Virginia's electricity comes from solar, with more on the way as additional large scale solar facilities come online over the next decade. Alongside baseload sources like natural gas and nuclear, solar plays an important role in Virginia's all-of-the-above strategy for ensuring a reliable, affordable, and increasingly clean energy future.

https://lnkd.in/dM8inexq",https://www.linkedin.com/feed/update/urn:li:activity:7338550757702467586,06/11/2025,606,4.0%
"If you’re wondering whether nuclear energy is safe, reliable, or ready for real-world use—ask the U.S. Army. The Army is now leading the development of mobile nuclear microreactors to power its bases at home and abroad. When failure isn’t an option, they’re choosing nuclear—because when national security is on the line, only the most reliable technologies make the cut.

https://lnkd.in/enjyPpXW",https://www.linkedin.com/feed/update/urn:li:activity:7338173368648495105,06/10/2025,588,4.9%
"Natural gas has been a vital component of Virginia's energy mix for nearly a century, providing reliable and affordable power to homes and businesses across the Commonwealth. In fact, natural gas accounts for just over 50% of Virginia's electric capacity, making it the largest single source of energy in the state.

https://lnkd.in/esawrUmt",https://www.linkedin.com/feed/update/urn:li:activity:7337886398038892545,06/09/2025,448,4.2%
"Innovation is essential to building a reliable energy future. Renewables play an important role in Virginia’s all-of-the-above strategy, but integrating variable energy sources into our existing grid presents real challenges. This WSJ feature explores how wind and solar can increase blackout risks—and highlights the innovative solutions needed to strengthen reliability as our energy mix evolves.

https://lnkd.in/eyJR_kGf",https://www.linkedin.com/feed/update/urn:li:activity:7337810713899331584,06/05/2025,1100,5.2%
"As Virginia’s population and economy grow, so does our demand for reliable, homegrown energy. As we continue to diversify our energy mix, biomass offers a way to support rural economies, reduce waste, and deliver on clean energy goals—without sacrificing reliability. Learn more at the link below. 

https://lnkd.in/eQ6_yvyQ",https://www.linkedin.com/feed/update/urn:li:activity:7337478726764429313,06/08/2025,415,4.8%
"Investments in energy are investments in local talent, good jobs, and a resilient future. From solar installation apprenticeships to nuclear control room simulators, Virginia is building a workforce ready to lead the next phase of our reliable, affordable, and increasingly clean energy future.

https://lnkd.in/eNBhfYJN",https://www.linkedin.com/feed/update/urn:li:activity:7337116343088951296,06/07/2025,738,5.3%
"Virginia Energy will be front and center at this year’s Virginia Energy Summit (co-hosted with the Virginia Manufacturers Association), engaging with top industry leaders, policymakers, and innovators shaping the future of energy in Virginia. Virginia Energy Director Glenn Davis will provide opening remarks and Deputy Director Julianne Szyper will moderate a discussion on Fission & the Future of Nuclear Energy with Mary Lou Dunzik-Gougar (Idaho State University) and Joshua Parker (BWXT Technologies).

Industry leaders from Dominion Energy, Commonwealth Fusion Systems, Shell Energy, Old Dominion Electric Cooperative (ODEC), Amazon Web Services (AWS), and many more will join in discussions the future of innovation, technology, and progress being made in Virginia's thriving energy sector.

Learn more and register to attend at https://lnkd.in/e2p_H-iN ",https://www.linkedin.com/feed/update/urn:li:activity:7336814136955207680,06/03/2025,3423,7.9%
"Virginia Energy is in search of a Title V Enforcement Inspector for the Mine Land Repurposing Program. This position will provide valuable economic development support activities in Southwest Virginia and will serve as the subject matter expert on reclaimed mines sites and post mine land use. Duties include site evaluation and providing technical assistance for development prospects.

Learn more and apply at https://lnkd.in/eJXC8UyV ",https://www.linkedin.com/feed/update/urn:li:activity:7336766388138639360,06/06/2025,188,5.9%
"Class is now in session! With support from the Virginia Clean Energy Innovation Bank, the nation’s first 12-module SMR simulator—developed by NuScale Power—is now open at George Mason University.",https://www.linkedin.com/feed/update/urn:li:activity:7336723576168873985,06/05/2025,577,5.9%
"This week, Governor of Virginia Glenn Youngkin announced that Virginia has surpassed $100 billion in capital investment since 2022—more than the total amount committed between 2014 and 2022! Building on this momentum, Executive Order 49 makes the Made in Virginia Investment Accelerator permanent, streamlining the path for major projects across the Commonwealth.

Virginia Energy is a proud state partner in this initiative, helping accelerate responsible growth through coordinated support on permitting, infrastructure, and workforce development.

https://lnkd.in/eHc8rpNa",https://www.linkedin.com/feed/update/urn:li:activity:7336452304423866369,06/05/2025,665,5.0%
"Virginia continues to strengthen it's role in advancing domestic critical minerals production. We recently visited Atlantic Strategic Minerals (ASM) in Petersburg, part of a select group of U.S. companies working to reestablish domestic production of critical minerals like titanium, zirconium, and rare earth elements—a market long dominated by Chinese producers with major implications for America’s manufacturing and energy sectors. ASM’s low-impact mining efforts are a prime example of how Virginia companies are leading the nation in innovative solutions that strengthen our economy and secure out future. ",https://www.linkedin.com/feed/update/urn:li:activity:7336361461948047362,06/05/2025,1736,6.7%
"From breakthrough technologies to local impact, we’re driving innovation, strengthening communities, and powering Virginia’s future. Catch up on everything that's happening at Virginia Energy with out our June newsletter! https://shr.link/oqttu",https://www.linkedin.com/feed/update/urn:li:activity:7336014182170996737,06/04/2025,413,12.1%
"Virginia Energy geologists like Katie Lang and Jenny Meng help protect our communities by providing environmental consultants and scientists with critical information on groundwater location, mineral resource assessments, and geologic hazards.

Learn more about Virginia's geologic features at: https://lnkd.in/eZd8mzjg",https://www.linkedin.com/feed/update/urn:li:activity:7335274328768360450,06/02/2025,521,5.2%
"Through careful oversight, permitting, and site inspections, Virginia Energy's Gas & Oil team works to safeguard our natural resources and ensure our economy has the fuel it needs to continue thriving safely and responsibly.

Learn more about our Gas & Oil team at https://lnkd.in/eZvp5j2X ",https://www.linkedin.com/feed/update/urn:li:activity:7334942124972367872,06/01/2025,349,3.2%
"Our June newsletter comes out next week, and you won't want to miss it! Sign up for exclusive insights on our programs, activities, and successes at https://ow.ly/SgXF50Upkrz.",https://www.linkedin.com/feed/update/urn:li:activity:7334665019088912384,05/31/2025,224,2.7%
"Virginia Energy offers a range of in-person and virtual training opportunities for mining industry professionals on everything from diesel to advanced first aid. Learn more about our programs that equip miners with the skills and knowledge needed to continue working safely while keeping our economy moving forward at https://lnkd.in/eC6d-4Hi.

",https://www.linkedin.com/feed/update/urn:li:activity:7334579694878568449,05/31/2025,215,2.3%
"Programs will begin at George Mason University's newly installed state-of-the-art Small Modular Reactor (SMR) Control Room Simulator in Arlington this summer, ensuring Virginia’s workforce is ready to meet rising energy demands. Developed by NuScale Power and funded through the Virginia Clean Energy Innovation Bank, this cutting-edge tool - the only 12 module simulator in the nation - will train the next generation of nuclear professionals as Virginia continues to lead the nation in innovative energy solutions.",https://www.linkedin.com/feed/update/urn:li:activity:7334308030852841473,05/30/2025,8279,9.0%
"Programs will begin at George Mason University's newly installed state-of-the-art Small Modular Reactor (SMR) Control Room Simulator in Arlington this summer, ensuring Virginia’s workforce is ready to meet rising energy demands. Developed by NuScale Power and funded through the Virginia Clean Energy Innovation Bank, this cutting-edge tool - the only 12 module simulator in the nation - will train the next generation of nuclear professionals as Virginia continues to lead the nation in innovative energy solutions.",https://www.linkedin.com/feed/update/urn:li:activity:7334308030852841473,05/30/2025,7805,6.9%
"Programs will begin at George Mason University's newly installed state-of-the-art Small Modular Reactor (SMR) Control Room Simulator in Arlington this summer, ensuring Virginia’s workforce is ready to meet rising energy demands. Developed by NuScale Power and funded through the Virginia Clean Energy Innovation Bank, this cutting-edge tool - the only 12 module simulator in the nation - will train the next generation of nuclear professionals as Virginia continues to lead the nation in innovative energy solutions.",https://www.linkedin.com/feed/update/urn:li:activity:7334308030852841473,05/30/2025,16084,8.0%
"Last week, Virginia Energy’s Transportation Lead & GIS Analyst Edward Cronin joined industry leaders at the Dock 2 Door Coalition's annual event to discuss how Virginia’s alternative fuel and electric vehicle programs are helping improve operations, reduce emissions, and build the workforce driving the future of freight innovation.

On the Carbon-Neutral & Sustainable Freight panel, Ed spoke alongside Sara Graf (Estes Express Lines), Alleyn Harned (Virginia Clean Cities), and Julie Manzari (Dominion Energy), as stakeholders from across the supply chain came together to coordinate strategies for a cleaner, more efficient freight system.",https://www.linkedin.com/feed/update/urn:li:activity:7334186852091940864,05/29/2025,846,10.9%
"We’re one step closer to virtually limitless reliable, zero-carbon energy — and it’s starting right here in Virginia. Commonwealth Fusion Systems has officially filed for a conditional-use permit in Chesterfield County to build the world’s first grid-scale commercial fusion power plant. The planned 400 MW facility received initial siting funding from Virginia Energy's Virginia Energy Innovation Bank and is expected to start operations in the early 2030s. 

 https://shr.link/qxmcb",https://www.linkedin.com/feed/update/urn:li:activity:7333899953364205568,05/29/2025,9858,6.3%
"Through regular inspections, accident investigations, and comprehensive training, Virginia's Coal Mine Safety Program safeguards the lives of our coal miners and ensures mining operations adhere to strict safety standards.

 Learn more about how Virginia Energy is helping build a stronger, safer mining industry at: https://lnkd.in/eC6d-4Hi",https://www.linkedin.com/feed/update/urn:li:activity:7333462318527209473,05/28/2025,205,2.0%
"Industry leaders reinforced why Virginia continues to lead the nation in nuclear power and energy innovation at Nuclear Energy Institute's policy forum this week. Key takeaways further validate our approach on permitting, supply chain development, security, and our commitment to a reliable, affordable, and clean energy future.



??????????????????? ?????? ??????????????????????: From electrification to data centers and EVs, nuclear is central to meeting rising demand without compromising grid resilience.



?Energy supply chain ???? ????????????????: Reshoring our energy infrastructure must be accelerated.



?????????????? ?????????????????????? ???? ????????: As other countries are navigating our increasingly challenging energy landscape, Virginia has become a destination for investment.



?????????????????????????? ????????????: Long-term collaboration—not just off-take agreements—is essential to building a sustainable nuclear future.



??????????????? ?????????????????? ???? ??????: Unfavorable regulatory environments deter investment. Virginia's leadership on this front matters more than ever.



Pictured: Deputy Director Julianne Szyper (Virginia Energy), April Wade (Virginia Nuclear Energy Consortium), and Sarah Marshall (Dominion Energy).",https://www.linkedin.com/feed/update/urn:li:activity:7333129830055530496,05/27/2025,579,5.0%
"Biomass is a carbon-neutral power source with real potential in Virginia's all-of-the-above strategy for reliable, affordable, and increasingly clean energy. This technology turns local organic waste into clean power, supporting rural communities while boosting energy security and lessening our dependence on imported or emissions-heavy fuels. 

https://lnkd.in/eWNAtfTu",https://www.linkedin.com/feed/update/urn:li:activity:7332767551917072384,05/23/2025,247,0.8%
"Today, we honor and remember the brave men and women who made the ultimate sacrifice for our freedom. Their courage and dedication inspire us every day.

Virginia Energy wishes everyone a meaningful Memorial Day.",https://www.linkedin.com/feed/update/urn:li:activity:7332738081365676032,05/26/2025,251,7.2%
"Virginia's data centers power more than just AI. With over 70% of the world's internet traffic flowing through our state, they're the backbone of global retail, too. From online purchases to inventory updates and customer interactions, retail—like many industries—depends on Virginia's digital infrastructure. When every business relies on data centers, every business is part of the data center story.",https://www.linkedin.com/feed/update/urn:li:activity:7332405391500189696,05/25/2025,262,3.4%
"When it comes to mine safety and rescue, Virginia leads the way. Virginia Energy's award winning mine rescue team responds to underground mining emergencies, ensuring swift and effective action when every second counts. 

Learn more at: https://lnkd.in/eC6d-4Hi",https://www.linkedin.com/feed/update/urn:li:activity:7332043161139036161,05/24/2025,356,5.9%
"While the U.S. accelerates nuclear deployment to meet soaring electricity demand, Virginia is already leading the way. With world-class infrastructure, cutting-edge research, and a skilled energy workforce, we’re continuing to build the nuclear solutions that will power the future of energy security, reliability, and innovation. 

#NuclearEnergy #EnergySecurity #Innovation",https://www.linkedin.com/feed/update/urn:li:activity:7331801867028475904,05/23/2025,755,3.4%
